Case_ID,Province,Harvest Type,ObsDate,Month_Obs,Year_Obs,Easting,Northing,Species,Sex,CWD Status
30137,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,574939.1247,5836539.857,Mule Deer,Female,Negative
30138,Saskatchewan,Hunter,2005-11-05 0:00,11,2005,588740.2981,5836926.27,Mule Deer,Female,Negative
30139,Saskatchewan,Hunter,2005-11-11 0:00,11,2005,586956.1816,5836894.091,Mule Deer,Male,Negative
30140,Saskatchewan,Hunter,2005-12-02 0:00,12,2005,586956.1816,5836894.091,Mule Deer,Female,Negative
30141,Saskatchewan,Hunter,2005-12-03 0:00,12,2005,573809.916,5836677.138,Mule Deer,Male,Negative
30142,Saskatchewan,Hunter,2005-12-03 0:00,12,2005,573809.916,5836677.138,Mule Deer,Male,Negative
30143,Saskatchewan,Hunter,2005-11-03 0:00,11,2005,588740.2981,5836926.27,Mule Deer,Female,Negative
30144,Saskatchewan,Hunter,2005-11-02 0:00,11,2005,575500.1636,5836703.044,Mule Deer,Female,Negative
30145,Saskatchewan,Hunter,2005-11-14 0:00,11,2005,576518.7814,5837008.209,Mule Deer,Female,Negative
30146,Saskatchewan,Hunter,2005-11-02 0:00,11,2005,581399.898,5837087.342,Mule Deer,Female,Negative
30147,Saskatchewan,Hunter,2005-11-17 0:00,11,2005,573803.8294,5837078.803,Mule Deer,Female,Negative
30148,Saskatchewan,Hunter,2005-11-07 0:00,11,2005,661680.4834,5839265.671,Mule Deer,Female,Negative
30149,Saskatchewan,Hunter,2005-11-15 0:00,11,2005,580555.5498,5837711.193,Mule Deer,Female,Negative
30150,Saskatchewan,Hunter,2005-11-15 0:00,11,2005,563480.4663,5837632.952,Mule Deer,Female,Negative
30151,Saskatchewan,Hunter,2005-11-18 0:00,11,2005,574631.3604,5838234.883,Mule Deer,Female,Negative
30152,Saskatchewan,Hunter,2005-12-08 0:00,12,2005,574631.3604,5838234.883,Mule Deer,Female,Negative
30153,Saskatchewan,Hunter,2005-11-04 0:00,11,2005,585051.1722,5838405.768,Mule Deer,Female,Negative
30154,Saskatchewan,Hunter,2005-11-08 0:00,11,2005,573218.6192,5838522.476,Mule Deer,Male,Negative
30155,Saskatchewan,Hunter,2005-11-08 0:00,11,2005,573218.6192,5838522.476,Mule Deer,Female,Negative
30156,Saskatchewan,Hunter,2005-11-19 0:00,11,2005,587861.7338,5838764.749,Mule Deer,Female,Negative
30157,Saskatchewan,Hunter,2005-11-12 0:00,11,2005,580540.2146,5838638.105,Mule Deer,Female,Negative
